"gene_name"	"9bc8ff9e-2f36-5094-ac12-b1bf81b53c15"	"396932ab-c4b3-4526-9201-9222f5f062a5"	"53891f08-a221-4ca8-a502-cf990bdb6020"	"Quant.seq.sample2"	"Quant.seq.sample1"	"RNA.seq.sample2"	"RNA.seq.sample1"
"A1BG"	"1.2019"	"0.1288"	"5.5751"	0.852431894310195	1.08690594920319	0.995031789542134	0.808888270059487
"A1BG-AS1"	"1.4504"	"1.6928"	"4.8728"	3.48817771229195	2.92083928880705	3.9656200030581	3.81342625706952
"A1CF"	"0.0"	"0.0098"	"0.0259"	0.0368943148223931	0.0679123753925737	0.00209267734730005	0.0140716056609948
"A2M"	"279.5415"	"158.4287"	"3.1936"	0.590838326434261	0.618325386623772	1.35320609335708	1.37366650007146
"A2M-AS1"	"0.6818"	"0.6511"	"1.0985"	3.41981354476725	2.20495443451189	0.0613203198206806	0.159981821481137
"A2ML1"	"0.0366"	"0.5626"	"0.2785"	0.0730560666298026	0.133105716848097	0.0194654845641839	0.00754172599295846
"A2ML1-AS1"	"0.0"	"0.0"	"0.0"	0.0857573147079517	0.105642865100976	0.0131439109089108	0.0265018844745666
"A3GALT2"	"0.598"	"0.3661"	"4.1395"	0.209021686832024	0.101010417635619	1.56840707418281	1.40053249958721
"A4GALT"	"22.8493"	"33.4035"	"0.0371"	1.38309199492139	0.776118668368164	1.8687998619358	1.59029906624739
"AAAS"	"56.3309"	"39.4467"	"12.305"	4.10207244033133	4.02024030195981	4.65972903259785	4.63389502644731
"AACS"	"12.1993"	"10.3385"	"2.1122"	2.87488215996595	2.87991167481283	3.33697754964457	3.14826390826065
"AADAC"	"1.0174"	"2.5243"	"0.0"	0.10743368079428	0.588315553002689	0.0124468440865995	0.0820303948925851
"AADAT"	"6.7675"	"5.9268"	"0.0419"	1.31658406755555	1.476760733746	2.03806005937009	2.3007435264947
"AAGAB"	"23.5052"	"38.3978"	"20.4074"	4.4070577558072	4.27407304682716	3.45964679340534	3.38339882831738
"AAK1"	"6.8137"	"15.328"	"33.3701"	2.39659084196962	2.26674588598483	3.49635769610059	3.2990346989571
"AAMDC"	"8.6805"	"6.2886"	"12.3077"	1.84117463862553	1.96143022093117	1.71877192060559	1.58577327740354
"AAMP"	"160.6481"	"182.8775"	"36.5297"	7.73677059741583	7.62821863237354	6.45025938080749	6.43286908875494
"AAR2"	"63.3229"	"73.6118"	"28.3163"	3.77712536282175	3.72101469495329	3.27250127233942	3.11197820639953
"AARD"	"0.618"	"2.59"	"0.1036"	5.33770806452673	4.94259470762809	0.188250382055292	0.373825195945586
"AARS2"	"24.5564"	"20.5765"	"6.3678"	2.41437504917715	1.98731368690896	4.63030459867831	4.34737723845854
"AASDH"	"3.7367"	"11.8798"	"4.4693"	2.16877557827733	1.70495063991936	2.038733730482	2.18881084236644
"AASDHPPT"	"5.692"	"23.4192"	"4.5854"	4.04863939717637	4.09030476698184	3.21606884007827	3.73716491345118
"AASS"	"5.4946"	"10.5938"	"6.9714"	0.620308616778071	0.555333638963089	1.85817253546243	2.22835818137004
"AATF"	"35.2575"	"74.5607"	"33.2137"	3.27807306967379	3.24924328741968	2.46188144781907	2.41614285733126
"AATK"	"15.9963"	"1.4495"	"0.1796"	0.631967266999866	0.575404392700112	0.228955652614977	0.268464688608845
"ABAT"	"3.5809"	"2.1448"	"6.4372"	0.841714381665353	0.462533146685936	1.36542709097545	1.15688299121618
"ABCA1"	"10.0387"	"15.5266"	"15.9327"	0.0953109773023295	0.079265865190839	2.80688366701234	2.8380400097109
"ABCA10"	"1.5492"	"0.401"	"0.1334"	0.016416073524489	0.0601687700241624	0.469656403286067	0.794436762443349
"ABCA12"	"8.9898"	"1.2612"	"0.3109"	0.0535332482600655	0.0215840496711792	0.0225272989617666	0.0222335988954277
"ABCA13"	"0.0183"	"1.0823"	"0.4962"	0.37114807466589	0.387243492928787	0.0102104854469014	0.0147865526326221
"ABCA2"	"50.6551"	"8.0229"	"49.6604"	1.73069528545762	1.68048642712291	5.02400317342563	4.9686668973285
"ABCA3"	"70.5701"	"97.1814"	"0.1756"	1.94187556768958	1.78065985616157	0.678420114784453	0.585491572157731
"ABCA4"	"0.3374"	"0.2081"	"0.102"	0.0971648439854982	0.266105642053914	0.238287132330223	0.2232951141337
"ABCA5"	"2.7297"	"5.4294"	"1.6944"	0.811003896419702	0.365447470809165	2.1514122750407	2.63596939509485
"ABCA7"	"4.1276"	"8.4541"	"14.4667"	0.286093179393508	0.493774321365921	3.83438681489429	3.62374585915647
"ABCA8"	"5.5094"	"0.4954"	"0.0443"	0.105800487371189	0.2205579060785	0.0503752100067458	0.0192554556511109
"ABCA9-AS1"	"0.0"	"0.0313"	"1.0414"	0.219321732887911	0.106183538129074	0.00550559249226541	0.00989822052452643
"ABCB1"	"3.9871"	"0.6925"	"2.1916"	0.782564954784554	0.387056466054356	0.0482912250188124	0.0692816843512997
"ABCB10"	"5.426"	"15.1041"	"17.0718"	1.77156224384213	1.33932779868342	3.08376347244178	2.88843818308145
"ABCB11"	"0.0"	"0.0546"	"0.0323"	0.0582943181843599	0.0137705740498707	0.0116209209529874	0.00673714188257016
"ABCB4"	"0.1696"	"0.2968"	"0.5802"	1.05548783204161	0.494931547236181	0.0114267064238054	0.00618368115025075
"ABCB5"	"0.1794"	"0.0"	"0.0135"	0.0680913190071247	0.0456064914888337	0.00223100112241645	0.0120105438101337
"ABCB7"	"10.1498"	"29.6129"	"17.8561"	2.49946983994891	2.20703879569829	1.36353225730098	1.72851277933094
"ABCB8"	"23.9348"	"14.2862"	"6.6038"	1.72615259783234	0.975607832392306	4.3193089652961	4.13569841660248
"ABCB9"	"3.8925"	"2.9869"	"1.6306"	1.31670599551797	1.06765417327575	1.70169572121975	1.58513176832704
"ABCC1"	"54.3884"	"139.9736"	"50.7273"	1.39730170247699	1.19829136283923	4.24389845924429	3.96930231893737
"ABCC10"	"21.0288"	"15.9659"	"7.1617"	1.29467862808359	0.892422549569619	3.88973482424412	3.68760190179822
"ABCC11"	"0.3096"	"0.1658"	"0.603"	0.0587403130038953	0.0367142742583912	0.0419406125799053	0.0621605473802241
"ABCC2"	"0.4237"	"0.3584"	"2.1137"	0.11159954499638	0.426745217197951	0.332968551526401	0.25966450912218
"ABCC3"	"36.5827"	"4.2701"	"0.4145"	2.01167914181873	1.76013907115891	5.89198029455289	5.54522126621373
"ABCC4"	"3.8282"	"26.5352"	"4.7344"	0.896048566903539	0.986875990439178	2.74130373393901	2.50868193071031
"ABCC5"	"26.7128"	"15.1629"	"8.3948"	2.24030583006662	1.71308467418388	3.16376780254403	2.86926508446102
"ABCC5-AS1"	"0.0"	"0.0998"	"1.0623"	0.730796666318067	0.268486873330847	0.0694015970975606	0.0472254245865196
"ABCC6"	"1.2102"	"1.9045"	"3.3599"	0.474492051479157	0.573112582797224	0.852625818273672	0.711081062799858
"ABCC8"	"0.4096"	"0.1339"	"0.0198"	0.230050935943399	0.19970939795536	0.00429702076653856	0.00290284240871749
"ABCC9"	"7.0944"	"1.1043"	"0.0"	0.0973808139873225	0.148320955633324	0.0420368189481316	0.0742936592979806
"ABCD1"	"30.807"	"22.9988"	"6.9359"	1.5407750238284	1.41794621217189	2.97241338430276	2.83366272822888
"ABCD2"	"0.3612"	"0.5954"	"1.3267"	0.214442765453063	0.0835727553922888	0.0282259241655989	0.0447890036911411
"ABCD3"	"4.3267"	"28.089"	"8.119"	2.88213423533076	2.50713905825346	2.33411780377827	2.8071617084914
"ABCD4"	"21.2744"	"8.7995"	"19.7255"	2.94787897343359	2.51496855610785	3.42341049775769	3.26335185656798
"ABCE1"	"6.9168"	"58.9942"	"14.4786"	4.13672731742512	4.12927211983582	3.97703421548106	4.530607160073
"ABCF1"	"83.1911"	"129.0017"	"77.9001"	4.89274153745418	4.9358762322709	3.77865820219971	3.65081724156816
"ABCF2"	"11.487"	"19.0419"	"2.6562"	3.41663236922083	3.7247032844563	5.32956825535666	5.06299203246839
"ABCG1"	"13.2062"	"71.213"	"14.7321"	0.284043420474113	0.200598089689346	0.317828866199652	0.295230503294634
"ABCG2"	"1.95"	"1.1449"	"1.2006"	0.353012295928513	0.347847405847953	0.50849464917949	0.549868915109757
"ABCG4"	"2.4263"	"0.1352"	"0.0"	0.987700800532504	0.878420253726841	0.340527080391191	0.21556834806604
"ABCG8"	"0.1717"	"0.1104"	"0.208"	0.0793844979423541	0.109618300974838	0.00456608993204674	0.0122994419626132
"ABHD1"	"0.5662"	"0.273"	"0.2421"	1.18718587603769	0.53162857349938	0.300726068361468	0.224694693637447
"ABHD10"	"14.6708"	"47.3875"	"6.1329"	5.46597734260833	5.21758471100215	3.55326409749968	3.86395766143672
"ABHD11"	"18.7836"	"42.7655"	"0.9794"	5.98708198884209	5.63559368786435	4.7954146427402	4.8691442768871
"ABHD12"	"50.8065"	"41.9339"	"14.5991"	2.85482781575333	2.58516147105358	3.9881884621782	3.69940073981244
"ABHD12B"	"0.2112"	"0.2469"	"29.7763"	0.0950526569759109	0.0886333444671082	0.0164243923558221	0.00741654796136817
"ABHD13"	"3.4377"	"15.7724"	"30.8741"	2.58408914020092	2.61041193767731	2.27060610647052	2.74609723280592
"ABHD14A"	"13.8912"	"1.8702"	"0.5238"	0.156198821951905	0.278306905872228	0.49567703581602	0.553014890773439
"ABHD14B"	"63.3374"	"31.3088"	"18.992"	0.292731147470354	0.504454886777045	0.727297375924753	0.573402724722935
"ABHD15"	"9.0092"	"5.805"	"7.5615"	4.6479715314745	4.3279294771523	3.88131687859665	3.62533588052616
"ABHD17A"	"63.9221"	"19.1119"	"19.3607"	1.48032385285412	1.94676555724183	4.49804420445695	4.42722602269388
"ABHD17B"	"11.2866"	"13.6623"	"99.1462"	1.70422632646887	1.86287750879126	2.07227945264243	2.40719885356714
"ABHD17C"	"4.4902"	"53.1778"	"13.7282"	2.36843851355186	2.05255448496522	2.44950127887315	2.14640363505205
"ABHD2"	"17.7591"	"24.3282"	"17.9627"	2.18869173917827	2.21874832981348	4.4381196228661	4.18099145160039
"ABHD3"	"3.9897"	"17.843"	"30.384"	2.27327790370929	1.76989548953024	2.00125447871171	1.70840219365029
"ABHD4"	"51.124"	"18.1854"	"5.1412"	4.47802809121784	3.94759177795298	4.43204840455787	4.27925710392656
"ABHD5"	"3.095"	"5.9613"	"7.2527"	2.73437770586542	2.53387684545129	3.24481794366579	3.31170162790553
"ABHD6"	"4.513"	"4.6119"	"0.2447"	1.24079909111933	1.06331397621973	1.83835226093117	1.46376346467894
"ABHD8"	"31.9324"	"31.3327"	"7.8349"	3.34971979442872	2.96937381658228	2.81795853682034	2.61531991888368
"ABI1"	"19.413"	"71.3547"	"149.0306"	2.12974531746772	1.93491126670643	2.82083210741401	3.00786936320076
"ABI2"	"5.4705"	"14.2125"	"6.1968"	2.79815342867083	2.54289261711275	3.94374348577166	3.85556087336897
"ABI3"	"16.3086"	"32.7623"	"2.5765"	4.85470953046747	4.4925669725569	0.684281298849731	0.377638701039104
"ABI3BP"	"9.6958"	"23.2028"	"0.1248"	0.0707949731207014	0.0601018448900455	0.462241582400758	0.752261359863793
"ABL1"	"102.656"	"50.4506"	"31.6082"	2.2339960330882	1.91468025915198	4.09729790293178	3.80882559363373
"ABL2"	"12.3787"	"11.5852"	"12.3066"	3.16801417601907	3.04830713229346	4.15460079968392	3.96915897017995
"ABLIM1"	"21.1491"	"22.426"	"15.6313"	2.57839285646847	2.72356290144578	1.77055118151684	1.65507231510149
"ABLIM2"	"3.5007"	"21.0842"	"0.1616"	0.429115508423361	0.547890186377464	0.146352098624739	0.0701265497990323
"ABLIM3"	"6.4832"	"1.6005"	"0.0"	1.54319059873869	0.695894392945279	4.24585145840634	4.17153853537199
